-0.9,0.87,-0.36,1.08,1.95,-0.57,0.39,-0.96,-0.61,-0.69,-2.4
-0.64,-1.59,-0.39,0.69,1.04,-1.62,-0.52,-0.67,1.02,1.47,-4.55
-0.4,-0.83,-0.61,1.26,-0.28,-0.57,0.39,-0.96,-0.61,-0.69,-4.55
1.38,1.69,1.91,1.07,-0.05,-0.57,0.39,-0.96,-0.61,-0.69,-0.7
0.07,2.04,0.65,-1.13,-0.39,-0.39,-0.27,-1.51,-0.25,0.31,-3.7
1.38,1.69,1.91,1.07,-0.05,-1.62,-0.52,-0.67,1.02,1.47,0.19
0.65,0.84,1.25,-0.99,-1.9,-0.39,-0.27,-1.51,-0.25,0.31,0.81
0.65,0.84,1.25,-0.99,-1.9,-0.4,-0.83,-0.61,1.26,-0.28,0.55
0.65,0.84,1.25,-0.99,-1.9,-0.64,-1.19,-0.65,0.68,-0.13,-1.18
-0.04,-0.3,-0.82,-1.02,-0.04,-0.57,0.39,-0.96,-0.61,-0.69,0.48
-0.57,0.39,-0.96,-0.61,-0.69,-0.64,-1.19,-0.65,0.68,-0.13,-1.4
-0.04,-0.3,-0.82,-1.02,-0.04,-0.57,0.39,-0.96,-0.61,-0.69,-1.03
0.76,0.05,0.06,-0.62,-1.59,-0.02,0.3,0.97,-1.55,-1.16,-0.11
1.87,1.04,1.28,-0.61,-0.16,1.38,1.69,1.91,1.07,-0.05,-0.05
-0.02,0.3,0.97,-1.55,-1.16,0.59,0.79,1.44,-1.9,-0.93,-0.25
-0.04,-0.3,-0.82,-1.02,-0.04,-0.57,0.39,-0.96,-0.61,-0.69,-4.04
-0.04,-0.3,-0.82,-1.02,-0.04,-0.02,0.3,0.97,-1.55,-1.16,0.19
1.87,1.04,1.28,-0.61,-0.16,-0.39,-0.27,-1.51,-0.25,0.31,-2.15
-0.64,-1.59,-0.39,0.69,1.04,-0.64,-1.19,-0.65,0.68,-0.13,-0.23
-0.4,-0.83,-0.61,1.26,-0.28,0.73,-0.67,-0.42,1.13,0.99,-1.05
-0.02,0.3,0.97,-1.55,-1.16,0.59,0.79,1.44,-1.9,-0.93,-0.07
-0.05,-1.5,-0.67,0.49,0.21,-0.4,-0.83,-0.61,1.26,-0.28,-1.88
0.73,-0.67,-0.42,1.13,0.99,-0.57,0.39,-0.96,-0.61,-0.69,0.5
0.73,-0.67,-0.42,1.13,0.99,-0.9,0.87,-0.36,1.08,1.95,-0.5
1.87,1.04,1.28,-0.61,-0.16,-0.57,0.39,-0.96,-0.61,-0.69,-3.7
1.87,1.04,1.28,-0.61,-0.16,0.65,0.84,1.25,-0.99,-1.9,-1.3
-0.4,-0.83,-0.61,1.26,-0.28,-0.57,0.39,-0.96,-0.61,-0.69,-0.3
-0.4,-0.83,-0.61,1.26,-0.28,-0.9,0.87,-0.36,1.08,1.95,-1.9
0.76,0.05,0.06,-0.62,-1.59,-0.57,0.39,-0.96,-0.61,-0.69,-2.2
-1.62,-0.52,-0.67,1.02,1.47,-0.57,0.39,-0.96,-0.61,-0.69,-0.2
-1.62,-0.52,-0.67,1.02,1.47,-0.9,0.87,-0.36,1.08,1.95,-1.2
-0.39,-0.27,-1.51,-0.25,0.31,-0.57,0.39,-0.96,-0.61,-0.69,0.5
-0.39,-0.27,-1.51,-0.25,0.31,-0.9,0.87,-0.36,1.08,1.95,-0.5
1.38,1.69,1.91,1.07,-0.05,1.87,1.04,1.28,-0.61,-0.16,-1.31
0.59,0.79,1.44,-1.9,-0.93,-0.57,0.39,-0.96,-0.61,-0.69,-3.6
0.59,0.79,1.44,-1.9,-0.93,-0.02,0.3,0.97,-1.55,-1.16,-1.6
-0.64,-1.59,-0.39,0.69,1.04,-0.57,0.39,-0.96,-0.61,-0.69,0.1
-0.64,-1.59,-0.39,0.69,1.04,-0.9,0.87,-0.36,1.08,1.95,-1.1
-0.64,-1.19,-0.65,0.68,-0.13,-0.57,0.39,-0.96,-0.61,-0.69,0.0
-0.02,0.3,0.97,-1.55,-1.16,-0.57,0.39,-0.96,-0.61,-0.69,-0.2
-0.04,-0.3,-0.82,-1.02,-0.04,-0.57,0.39,-0.96,-0.61,-0.69,0.3
-0.04,-0.3,-0.82,-1.02,-0.04,-0.9,0.87,-0.36,1.08,1.95,-0.1
-0.02,0.3,0.97,-1.55,-1.16,-0.57,0.39,-0.96,-0.61,-0.69,-0.4
-0.7,-0.63,-1.47,1.02,1.06,-0.57,0.39,-0.96,-0.61,-0.69,0.2
-0.7,-0.63,-1.47,1.02,1.06,-0.9,0.87,-0.36,1.08,1.95,-0.4
0.65,0.84,1.25,-0.99,-1.9,-0.57,0.39,-0.96,-0.61,-0.69,-0.2
-0.64,-1.19,-0.65,0.68,-0.13,-0.57,0.39,-0.96,-0.61,-0.69,0.4
-0.64,-1.19,-0.65,0.68,-0.13,-0.9,0.87,-0.36,1.08,1.95,-0.5
0.73,-0.67,-0.42,1.13,0.99,-0.57,0.39,-0.96,-0.61,-0.69,-1.4
-0.4,-0.83,-0.61,1.26,-0.28,-0.57,0.39,-0.96,-0.61,-0.69,0.3
-0.4,-0.83,-0.61,1.26,-0.28,-0.9,0.87,-0.36,1.08,1.95,-0.6
0.65,0.84,1.25,-0.99,-1.9,-0.57,0.39,-0.96,-0.61,-0.69,-2.8
-0.57,0.39,-0.96,-0.61,-0.69,-0.9,0.87,-0.36,1.08,1.95,-1.1
0.65,0.84,1.25,-0.99,-1.9,-0.57,0.39,-0.96,-0.61,-0.69,-3.8
-0.57,0.39,-0.96,-0.61,-0.69,-0.9,0.87,-0.36,1.08,1.95,-1.1
